Frequencia1,Frequencia2,Frequencia3,Frequencia4,D1,D2,Indefinido,Metal,Vidro,Plastico,Papel
58517.59,107438.74,48351.37,63295.21,59,14,0,1,0,0,0
58401.20,95019.39,48591.09,60824.02,14,5,0,1,0,0,0
58759.17,104229.44,49291.69,60974.51,72,20,0,1,0,0,0
56683.87,93636.55,49781.57,60543.34,1183,3,0,1,0,0,0
58411.25,96881.02,49761.84,58333.04,41,16,0,1,0,0,0
57551.37,107150.63,48597.30,62836.99,44,20,0,1,0,0,0
53506.47,92039.17,49245.95,62511.00,53,17,0,1,0,0,0
53459.96,93075.11,49201.46,61835.13,53,17,0,1,0,0,0
58501.32,106882.19,48557.37,64834.25,54,17,0,1,0,0,0
58603.53,106843.75,48486.82,64643.10,55,17,0,1,0,0,0
58501.95,105864.45,48469.50,65288.49,55,17,0,1,0,0,0
59089.70,95751.38,48141.99,62888.01,53,17,0,1,0,0,0
59124.54,93736.55,48148.95,62324.03,53,17,0,1,0,0,0
58796.55,97800.05,48114.86,62946.58,31,15,0,1,0,0,0
54116.75,102248.06,48810.29,62120.62,42,15,0,1,0,0,0
58105.17,103004.43,48872.27,61397.10,30,19,0,1,0,0,0
58219.91,103703.54,49042.63,61225.74,53,19,0,1,0,0,0
57802.45,97458.13,47943.27,60002.57,56,17,0,1,0,0,0
57954.72,97403.71,47930.69,60947.55,56,17,0,1,0,0,0
57714.82,98476.06,47783.81,60183.87,56,17,0,1,0,0,0
57900.08,98363.45,47659.07,60049.46,56,17,0,1,0,0,0
58340.78,104105.59,49025.21,61818.06,15,19,0,1,0,0,0
58378.93,103874.42,48985.46,61218.54,15,19,0,1,0,0,0
58512.34,104071.06,48988.19,61919.51,15,19,0,1,0,0,0
58593.75,104132.56,49064.11,61656.42,15,19,0,1,0,0,0
58717.64,104964.76,47624.11,63266.45,13,15,0,1,0,0,0
58417.82,103757.20,47492.66,63407.79,13,15,0,1,0,0,0
58991.21,104299.33,47574.30,63085.15,13,15,0,1,0,0,0
58427.26,105235.95,49011.67,62128.70,47,17,0,1,0,0,0
58684.86,104458.81,49095.45,61557.80,47,17,0,1,0,0,0
58584.40,104530.33,49005.54,62164.50,47,17,0,1,0,0,0
58416.40,101182.78,49321.87,61928.57,61,12,0,1,0,0,0
58443.62,101030.10,49313.58,62300.17,61,12,0,1,0,0,0
58294.84,101314.01,48941.09,60429.75,52,15,0,1,0,0,0
58199.26,101597.73,48899.84,60023.79,52,19,0,1,0,0,0
59159.69,102118.42,48496.57,62363.77,18,17,0,1,0,0,0
58974.17,100216.09,48271.39,62045.18,17,17,0,1,0,0,0
59012.89,99929.76,48204.24,61050.07,16,17,0,1,0,0,0
55380.38,105844.72,49042.20,62049.87,54,18,0,1,0,0,0
58274.30,103786.66,49272.96,61067.83,49,17,0,1,0,0,0
58416.89,103018.63,49264.20,61505.41,35,17,0,1,0,0,0
58323.14,102774.03,49377.80,61125.59,36,17,0,1,0,0,0
57178.26,106172.73,49552.20,64802.37,54,19,0,1,0,0,0
56595.72,104984.20,49512.47,64126.38,54,19,0,1,0,0,0
56663.89,105296.35,49361.36,65091.05,49,19,0,1,0,0,0
53924.33,96114.54,47667.61,57872.58,8,8,0,1,0,0,0
53249.41,99146.59,47133.33,59439.11,11,14,0,1,0,0,0
53007.12,98855.78,47284.12,60369.15,15,14,0,1,0,0,0
52963.04,98968.01,47240.20,59193.25,19,14,0,1,0,0,0
50682.29,97689.73,46091.69,55525.34,39,37,0,1,0,0,0
50774.75,95593.24,44793.85,57312.71,39,40,0,1,0,0,0
50981.85,95066.57,44617.11,57588.97,39,39,0,1,0,0,0
50867.87,95743.45,44569.28,57590.57,39,39,0,1,0,0,0
50720.54,96282.21,44690.44,56859.27,38,37,0,1,0,0,0
58167.23,95077.90,49165.64,62172.96,51,17,0,1,0,0,0
58424.28,96198.33,49307.96,60906.43,53,17,0,1,0,0,0
58217.93,96324.16,49161.23,61300.64,53,17,0,1,0,0,0
58270.29,95168.59,49278.36,61066.15,53,17,0,1,0,0,0
58043.30,104197.35,49236.55,62622.44,11,8,0,0,0,0,1
57990.20,104441.79,49209.35,61924.41,11,8,0,0,0,0,1
57904.00,103663.00,49165.48,62773.23,12,8,0,0,0,0,1
57946.70,104221.33,49142.16,61939.29,25,17,0,0,0,0,1
58169.37,104936.02,49067.45,62610.06,24,16,0,0,0,0,1
58717.44,103684.88,49184.93,62685.62,14,15,0,0,0,0,1
58380.36,103828.69,49259.02,62897.48,38,19,0,0,0,0,1
58498.29,104799.24,49274.91,62730.93,47,19,0,0,0,0,1
58091.16,106054.10,49155.09,61931.97,57,19,0,0,0,0,1
58394.37,105304.19,49346.98,62924.47,38,19,0,0,0,0,1
58094.81,104956.66,49366.76,63810.94,40,19,0,0,0,0,1
58039.15,105046.25,49075.34,61195.60,34,17,0,0,0,0,1
57964.11,105968.96,48977.69,61390.07,34,17,0,0,0,0,1
57913.90,106028.16,49116.73,61142.96,35,17,0,0,0,0,1
58149.00,105533.40,49048.87,62386.87,35,17,0,0,0,0,1
57899.04,106143.98,49027.16,62264.76,35,17,0,0,0,0,1
58028.63,105196.14,48990.80,62931.02,35,17,0,0,0,0,1
57853.54,105018.91,48911.30,61350.07,35,17,0,0,0,0,1
57863.73,106776.34,49111.23,62318.80,35,17,0,0,0,0,1
57884.54,106451.16,48894.45,62506.80,35,17,0,0,0,0,1
57851.86,105825.24,49070.37,62581.05,46,17,0,0,0,0,1
57700.73,102713.28,48985.85,62662.79,23,12,0,0,0,0,1
58252.04,103386.84,48936.29,62034.01,49,17,0,0,0,0,1
57806.09,103603.63,49134.80,63417.14,17,14,0,0,0,0,1
57880.89,104388.88,49059.37,63587.45,17,16,0,0,0,0,1
57700.99,104868.90,48949.68,63031.43,17,16,0,0,0,0,1
57888.82,103494.39,48892.37,62870.16,35,11,0,0,0,0,1
58061.32,106124.07,49048.89,62757.27,9,28,0,0,0,0,1
58108.32,107260.98,49050.52,62816.15,8,28,0,0,0,0,1
58140.40,103734.18,48908.45,62451.51,20,17,0,0,0,0,1
58313.82,105203.88,48291.41,62300.82,46,17,0,0,0,0,1
58208.62,104598.65,48372.20,62549.02,46,17,0,0,0,0,1
58061.98,103733.89,48989.21,63131.09,47,17,0,0,0,0,1
57882.71,103190.39,49032.59,63147.46,71,17,0,0,0,0,1
58314.96,103277.30,48768.59,62433.43,23,37,0,0,0,0,1
58255.09,103826.23,48736.73,61773.81,23,27,0,0,0,0,1
58027.23,102874.43,48703.55,61215.69,15,25,0,0,0,0,1
58326.77,104039.66,48757.50,61584.91,15,24,0,0,0,0,1
58111.45,103911.26,48676.16,60859.31,27,23,0,0,0,0,1
57717.27,103671.98,48701.76,61380.03,33,4,0,0,0,0,1
57758.07,103232.71,48781.98,61476.13,21,34,0,0,0,0,1
57974.64,104567.45,48716.89,62162.09,30,34,0,0,0,0,1
57710.40,101973.07,48893.72,61031.45,49,17,0,0,0,0,1
57832.44,100946.70,48824.04,61011.61,34,19,0,0,0,0,1
57967.79,101532.37,48910.89,60098.62,44,17,0,0,0,0,1
57957.46,101413.61,48737.59,60819.19,34,19,0,0,0,0,1
58083.74,103453.16,48706.79,61586.49,51,12,0,0,0,0,1
57917.98,102781.52,48804.38,61144.98,35,14,0,0,0,0,1
56785.80,104625.96,48925.65,63672.27,49,17,0,0,0,0,1
56177.00,103875.52,48869.93,64657.84,46,17,0,0,0,0,1
55102.44,104418.51,48763.20,64833.09,45,17,0,0,0,0,1
55057.25,103135.19,48880.07,65264.54,47,17,0,0,0,0,1
52707.83,100607.96,48524.28,60363.13,8,13,0,0,0,0,1
52354.06,101297.05,48522.09,59484.35,8,20,0,0,0,0,1
52384.77,101644.08,48618.79,59961.78,8,19,0,0,0,0,1
51914.49,101191.58,48483.49,59555.90,8,14,0,0,0,0,1
51800.81,100697.52,48269.73,59533.19,8,13,0,0,0,0,1
50794.49,99892.02,48154.24,58692.08,8,14,0,0,0,0,1
50794.49,99892.02,48154.24,58692.08,8,14,0,0,0,0,1
